category	text
d	string
class	include=True
children	case 115cv00270rbj document 1 file 020915 usdc colorado page 1 10in unit state district court district colorado civil action no
children	115cv00270 georg baca plaintiff v
children	parkview medic center inc
children	 parkview health system inc
children	 defend
children	complaint plaintiff georg baca attorney civil right educ enforc center herebi bring complaint parkview medic center inc parkview health system inc collect parkview
children	introduct 1
children	twentyfour year american disabl act ada passedand 40 year section 504 rehabilit act section 504 parkview fail provid sign languag interpret accommod deaf father critic injur minor deni effect commun deepli exacerb alreadi stress situat
children	case 115cv00270rbj document 1 file 020915 usdc colorado page 2 10jurisdict venu 2
children	action aris law unit state
children	jurisdict confer upon court pursuant 28 usc 1331 1343 feder law claim 28 usc 1367 state law claim
children	3
children	venu proper court pursuant 28 usc 1391b2 event give rise claim occur district colorado
children	parti 4
children	plaintiff georg baca current time relev suit resid state colorado pueblo counti
children	mr baca individu disabl substanti limit major life activ includ hear
children	5
children	defend parkview medic center inc parkview health system inc privat nonprofit corpor one own oper leas andor leas privat hospit parkview medic center place public accommod term use titl iii american disabl act 42 usc 121817 colorado antidiscrimin act colo
children	rev
children	stat
children	2434601
children	inform belief parkview defend recipi feder financi assist term use section 504
children	inform belief parkview medic center employ 15 peopl
children	factual alleg 6
children	plaintiff baca deaf understand speech
children	first languag primari mode commun american sign languag
children	7
children	like mani individu deaf sinc childhood mr baca read write fluenci
children	american sign languag english nativ languag
children	2 case 115cv00270rbj document 1 file 020915 usdc colorado page 3 108
children	order commun effect stranger andor situat call routin languag mr baca requir servic qualifi sign languag interpret
children	specif requir sign languag interpret commun relat medic topic convers involv multipl individu
children	9
children	10
children	time relev lawsuit parkview known mr baca deaf
children	even juli 6 2013 mr baca notifi minor daughter struck car taken ambul parkview
children	arriv hospit long after
children	11
children	emerg room lobbi mr baca immedi request see daughter provid sign languag interpret
children	interpret provid
children	12
children	even juli 6 juli 7 morn juli 8 mr baca repeatedli request interpret speak doctor nurs hospit staff
children	receiv effect commun concern staff desper want understand
children	13
children	mr baca request sign languag interpret juli 6 2013
children	14
children	defend provid interpret mr baca juli 6 2013
children	15
children	mr baca request sign languag interpret morn juli 7 2013
children	16
children	defend provid interpret mr baca approxim noon juli 7 2013
children	17
children	interpret defend provid mr baca juli 7 2013 interpret approxim two hour
children	3 case 115cv00270rbj document 1 file 020915 usdc colorado page 4 1018
children	interpret provid mr baca juli 7 2013 left defend provid interpret mr baca remaind day
children	19
children	morn juli 8 2013 medic staff met mr baca daughter hospit room discuss condit
children	20
children	mr baca request interpret meet
children	21
children	parkview provid interpret meet medic personnel morn juli 8 2013
children	22
